subject,predicate,object,label,file path
Hyperparameters,choose,block number M,hyperparameters,/content/training-data/relation_extraction/12/triples/hyperparameters.txt
block number M,from,"{ 1 , 2 , 3 }",hyperparameters,/content/training-data/relation_extraction/12/triples/hyperparameters.txt
Hyperparameters,has,Glo Ve vectors,hyperparameters,/content/training-data/relation_extraction/12/triples/hyperparameters.txt
Glo Ve vectors,used as,initialization,hyperparameters,/content/training-data/relation_extraction/12/triples/hyperparameters.txt
initialization,for,word embeddings,hyperparameters,/content/training-data/relation_extraction/12/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/relation_extraction/12/triples/model.txt
Model,introduce,dense connections,model,/content/training-data/relation_extraction/12/triples/model.txt
dense connections,to,GCN model,model,/content/training-data/relation_extraction/12/triples/model.txt
Model,For,GCNs,model,/content/training-data/relation_extraction/12/triples/model.txt
GCNs,has,L layers,model,/content/training-data/relation_extraction/12/triples/model.txt
L layers,to capture,neighborhood information,model,/content/training-data/relation_extraction/12/triples/model.txt
neighborhood information,that is,L hops away,model,/content/training-data/relation_extraction/12/triples/model.txt
Model,develop,""" soft pruning "" strategy",model,/content/training-data/relation_extraction/12/triples/model.txt
""" soft pruning "" strategy",that transforms,original dependency tree,model,/content/training-data/relation_extraction/12/triples/model.txt
original dependency tree,into,fully connected edgeweighted graph,model,/content/training-data/relation_extraction/12/triples/model.txt
Model,has,weights,model,/content/training-data/relation_extraction/12/triples/model.txt
weights,viewed as,strength of relatedness,model,/content/training-data/relation_extraction/12/triples/model.txt
strength of relatedness,can be learned in,end - to - end fashion,model,/content/training-data/relation_extraction/12/triples/model.txt
end - to - end fashion,by using,self - attention mechanism,model,/content/training-data/relation_extraction/12/triples/model.txt
strength of relatedness,between,nodes,model,/content/training-data/relation_extraction/12/triples/model.txt
Model,propose,novel Attention Guided Graph Convolutional Networks ( AGGCNs ,model,/content/training-data/relation_extraction/12/triples/model.txt
novel Attention Guided Graph Convolutional Networks ( AGGCNs ),operate directly on,full tree,model,/content/training-data/relation_extraction/12/triples/model.txt
Model,With the help of,dense connections,model,/content/training-data/relation_extraction/12/triples/model.txt
dense connections,able to,train,model,/content/training-data/relation_extraction/12/triples/model.txt
train,has,AGGCN model,model,/content/training-data/relation_extraction/12/triples/model.txt
AGGCN model,with,large depth,model,/content/training-data/relation_extraction/12/triples/model.txt
Contribution,has research problem,Relation Extraction,research-problem,/content/training-data/relation_extraction/12/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,Compared to,GCN models,results,/content/training-data/relation_extraction/12/triples/results.txt
GCN models,has,our model,results,/content/training-data/relation_extraction/12/triples/results.txt
our model,obtains,1.3 and 1.2 points higher,results,/content/training-data/relation_extraction/12/triples/results.txt
1.3 and 1.2 points higher,than,best performing model,results,/content/training-data/relation_extraction/12/triples/results.txt
best performing model,with,pruned tree ( K=1 ,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,For,ternary relation extraction,results,/content/training-data/relation_extraction/12/triples/results.txt
ternary relation extraction,has,our AGGCN model,results,/content/training-data/relation_extraction/12/triples/results.txt
our AGGCN model,achieves,accuracies,results,/content/training-data/relation_extraction/12/triples/results.txt
accuracies,of,87.1 and 87.0,results,/content/training-data/relation_extraction/12/triples/results.txt
87.1 and 87.0,outperform,all the baselines,results,/content/training-data/relation_extraction/12/triples/results.txt
87.1 and 87.0,on,instances,results,/content/training-data/relation_extraction/12/triples/results.txt
instances,within,single sentence ( Single ,results,/content/training-data/relation_extraction/12/triples/results.txt
87.1 and 87.0,on,all instances ( Cross ,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,For,binary relation extraction,results,/content/training-data/relation_extraction/12/triples/results.txt
binary relation extraction,has,AGGCN,results,/content/training-data/relation_extraction/12/triples/results.txt
AGGCN,consistently outperforms,GS GLSTM,results,/content/training-data/relation_extraction/12/triples/results.txt
AGGCN,consistently outperforms,GCN,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,has,our AGGCN,results,/content/training-data/relation_extraction/12/triples/results.txt
our AGGCN,achieves,better test accuracy,results,/content/training-data/relation_extraction/12/triples/results.txt
better test accuracy,than,all GCN models,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,has,C - AGGCN model,results,/content/training-data/relation_extraction/12/triples/results.txt
C - AGGCN model,achieves,F1 score,results,/content/training-data/relation_extraction/12/triples/results.txt
F1 score,of,68.2,results,/content/training-data/relation_extraction/12/triples/results.txt
68.2,outperforms,state - ofart C - GCN model,results,/content/training-data/relation_extraction/12/triples/results.txt
state - ofart C - GCN model,by,1.8 points,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,has,AG - GCN model,results,/content/training-data/relation_extraction/12/triples/results.txt
AG - GCN model,surpasses,state - of - the - art Graphstructured LSTM model ( GS GLSTM ,results,/content/training-data/relation_extraction/12/triples/results.txt
state - of - the - art Graphstructured LSTM model ( GS GLSTM ),by,6.8 and 3.8 points,results,/content/training-data/relation_extraction/12/triples/results.txt
state - of - the - art Graphstructured LSTM model ( GS GLSTM ),for,Single and Cross settings,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,has,AGGCN,results,/content/training-data/relation_extraction/12/triples/results.txt
AGGCN,performs,better,results,/content/training-data/relation_extraction/12/triples/results.txt
better,than,GCNs,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,has,performance gap,results,/content/training-data/relation_extraction/12/triples/results.txt
performance gap,between,GCNs with pruned trees and AGGCNs with full trees,results,/content/training-data/relation_extraction/12/triples/results.txt
GCNs with pruned trees and AGGCNs with full trees,empirically show,AGGCN model,results,/content/training-data/relation_extraction/12/triples/results.txt
AGGCN model,better at distinguishing,relevant from irrelevant information,results,/content/training-data/relation_extraction/12/triples/results.txt
relevant from irrelevant information,for learning,better graph representation,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,has,our AGGCN model,results,/content/training-data/relation_extraction/12/triples/results.txt
our AGGCN model,obtains,8.0 and 5.7 points,results,/content/training-data/relation_extraction/12/triples/results.txt
8.0 and 5.7 points,higher than,GS GLSTM model,results,/content/training-data/relation_extraction/12/triples/results.txt
GS GLSTM model,for,ternary and binary relations,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,notice,AGGCN and C - AGGCN,results,/content/training-data/relation_extraction/12/triples/results.txt
AGGCN and C - AGGCN,achieve,better precision and recall scores,results,/content/training-data/relation_extraction/12/triples/results.txt
better precision and recall scores,than,GCN and C - GCN,results,/content/training-data/relation_extraction/12/triples/results.txt
Results,on,SemEval dataset,results,/content/training-data/relation_extraction/12/triples/results.txt
SemEval dataset,has,Our C - AGGCN model ( 85.7 ,results,/content/training-data/relation_extraction/12/triples/results.txt
Our C - AGGCN model ( 85.7 ),consistently outperforms,C - GCN model ( 84.8 ,results,/content/training-data/relation_extraction/12/triples/results.txt
Our C - AGGCN model ( 85.7 ),showing,good generalizability,results,/content/training-data/relation_extraction/12/triples/results.txt
Contribution,has,Baselines,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Baselines,has,Neural sequence model,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Neural sequence model,has,competitive sequence model,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
competitive sequence model,employs,position - aware attention mechanism,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
position - aware attention mechanism,over,LSTM outputs ( PA - LSTM ,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Baselines,has,Dependency - based models,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Dependency - based models,has,Tree - LSTM,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Tree - LSTM,is,recursive model,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
recursive model,generalizes,LSTM,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
LSTM,to,arbitrary tree structures,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Dependency - based models,has,A logistic regression ( LR ) classifier,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
A logistic regression ( LR ) classifier,combines,dependencybased features,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
dependencybased features,with,other lexical features,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Dependency - based models,has,Shortest Dependency Path LSTM ( SDP - LSTM ,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Shortest Dependency Path LSTM ( SDP - LSTM ),applies,neural sequence model,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
neural sequence model,on,shortest path,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
shortest path,between,subject and object entities,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
subject and object entities,in,dependency tree,baselines,/content/training-data/relation_extraction/5/triples/baselines.txt
Contribution,has,Ablation analysis,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
Ablation analysis,Removing,pruning,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
pruning,hurts,result,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
result,by another,9.7 F 1,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
Ablation analysis,has,entity representations and feedforward layers,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
entity representations and feedforward layers,contribute,1.0 F 1,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
Ablation analysis,has,F 1,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
F 1,drops by,10.3,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
10.3,when we remove,feedforward layers,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
10.3,when we remove,LSTM component,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
10.3,when we remove,dependency structure,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
Ablation analysis,remove,dependency structure,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
dependency structure,has,score,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
score,drops by,3.2 F 1,ablation-analysis,/content/training-data/relation_extraction/5/triples/ablation-analysis.txt
Contribution,has,Model,model,/content/training-data/relation_extraction/5/triples/model.txt
Model,apply,novel path - centric pruning technique,model,/content/training-data/relation_extraction/5/triples/model.txt
novel path - centric pruning technique,to remove,irrelevant information,model,/content/training-data/relation_extraction/5/triples/model.txt
irrelevant information,from,the tree,model,/content/training-data/relation_extraction/5/triples/model.txt
irrelevant information,maximally keeping,relevant content,model,/content/training-data/relation_extraction/5/triples/model.txt
Model,encodes,dependency structure,model,/content/training-data/relation_extraction/5/triples/model.txt
dependency structure,over,input sentence,model,/content/training-data/relation_extraction/5/triples/model.txt
input sentence,with,efficient graph convolution operations,model,/content/training-data/relation_extraction/5/triples/model.txt
dependency structure,extracts,entity - centric representations,model,/content/training-data/relation_extraction/5/triples/model.txt
entity - centric representations,to make,robust relation predictions,model,/content/training-data/relation_extraction/5/triples/model.txt
Model,propose,novel extension of the graph convolutional network,model,/content/training-data/relation_extraction/5/triples/model.txt
novel extension of the graph convolutional network,tailored for,relation extraction,model,/content/training-data/relation_extraction/5/triples/model.txt
Contribution,has research problem,Relation Extraction,research-problem,/content/training-data/relation_extraction/5/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/relation_extraction/5/triples/results.txt
Results,find that,all three models,results,/content/training-data/relation_extraction/5/triples/results.txt
all three models,are,less effective,results,/content/training-data/relation_extraction/5/triples/results.txt
less effective,when,entire dependency tree,results,/content/training-data/relation_extraction/5/triples/results.txt
entire dependency tree,is,present,results,/content/training-data/relation_extraction/5/triples/results.txt
Results,show,effectiveness,results,/content/training-data/relation_extraction/5/triples/results.txt
effectiveness,of,path - centric pruning,results,/content/training-data/relation_extraction/5/triples/results.txt
path - centric pruning,compare,two GCN models and the Tree - LSTM,results,/content/training-data/relation_extraction/5/triples/results.txt
two GCN models and the Tree - LSTM,performance,peaks,results,/content/training-data/relation_extraction/5/triples/results.txt
peaks,outperforming,respective dependency path - based counterpart ( K = 0 ,results,/content/training-data/relation_extraction/5/triples/results.txt
peaks,when,K = 1,results,/content/training-data/relation_extraction/5/triples/results.txt
Results,contextualizing,GCN,results,/content/training-data/relation_extraction/5/triples/results.txt
GCN,makes it,less sensitive,results,/content/training-data/relation_extraction/5/triples/results.txt
less sensitive,to,changes,results,/content/training-data/relation_extraction/5/triples/results.txt
changes,in,tree structures,results,/content/training-data/relation_extraction/5/triples/results.txt
Results,on,TACRED Dataset,results,/content/training-data/relation_extraction/5/triples/results.txt
TACRED Dataset,using,contextualized word representations,results,/content/training-data/relation_extraction/5/triples/results.txt
contextualized word representations,has,C - GCN model,results,/content/training-data/relation_extraction/5/triples/results.txt
C - GCN model,outperforms,strong PA - LSTM model,results,/content/training-data/relation_extraction/5/triples/results.txt
strong PA - LSTM model,by,1.3 F 1,results,/content/training-data/relation_extraction/5/triples/results.txt
strong PA - LSTM model,achieves,new state of the art,results,/content/training-data/relation_extraction/5/triples/results.txt
TACRED Dataset,find,our GCN models,results,/content/training-data/relation_extraction/5/triples/results.txt
our GCN models,have,complementary strengths,results,/content/training-data/relation_extraction/5/triples/results.txt
complementary strengths,when compared to,PA - LSTM,results,/content/training-data/relation_extraction/5/triples/results.txt
TACRED Dataset,find,our model,results,/content/training-data/relation_extraction/5/triples/results.txt
our model,improves upon,other dependencybased models,results,/content/training-data/relation_extraction/5/triples/results.txt
other dependencybased models,in,both precision and recall,results,/content/training-data/relation_extraction/5/triples/results.txt
TACRED Dataset,has,interpolation,results,/content/training-data/relation_extraction/5/triples/results.txt
interpolation,between,C - GCN and a PA - LSTM,results,/content/training-data/relation_extraction/5/triples/results.txt
C - GCN and a PA - LSTM,further improves,result,results,/content/training-data/relation_extraction/5/triples/results.txt
result,to,68.2,results,/content/training-data/relation_extraction/5/triples/results.txt
TACRED Dataset,has,simple interpolation,results,/content/training-data/relation_extraction/5/triples/results.txt
simple interpolation,between,GCN and a PA - LSTM,results,/content/training-data/relation_extraction/5/triples/results.txt
GCN and a PA - LSTM,achieves,F 1 score,results,/content/training-data/relation_extraction/5/triples/results.txt
F 1 score,of,67.1,results,/content/training-data/relation_extraction/5/triples/results.txt
GCN and a PA - LSTM,outperforming,each model alone,results,/content/training-data/relation_extraction/5/triples/results.txt
each model alone,by,at least 2.0 F 1,results,/content/training-data/relation_extraction/5/triples/results.txt
TACRED Dataset,observe,GCN model,results,/content/training-data/relation_extraction/5/triples/results.txt
GCN model,outperforms,all dependency - based models,results,/content/training-data/relation_extraction/5/triples/results.txt
all dependency - based models,by,at least 1.6 F 1,results,/content/training-data/relation_extraction/5/triples/results.txt
TACRED Dataset,Comparing,C - GCN model,results,/content/training-data/relation_extraction/5/triples/results.txt
C - GCN model,with,GCN model,results,/content/training-data/relation_extraction/5/triples/results.txt
GCN model,find that,gain,results,/content/training-data/relation_extraction/5/triples/results.txt
gain,mainly comes from,improved recall,results,/content/training-data/relation_extraction/5/triples/results.txt
Results,on,SemEval Dataset,results,/content/training-data/relation_extraction/5/triples/results.txt
SemEval Dataset,find that under,conventional with- entity evaluation,results,/content/training-data/relation_extraction/5/triples/results.txt
conventional with- entity evaluation,has,our C - GCN model,results,/content/training-data/relation_extraction/5/triples/results.txt
our C - GCN model,outperforms,all existing dependency - based neural models,results,/content/training-data/relation_extraction/5/triples/results.txt
SemEval Dataset,by properly incorporating,off - path information,results,/content/training-data/relation_extraction/5/triples/results.txt
off - path information,has,our model,results,/content/training-data/relation_extraction/5/triples/results.txt
our model,outperforms,previous shortest dependency path - based model ( SDP - LSTM ,results,/content/training-data/relation_extraction/5/triples/results.txt
SemEval Dataset,Under,mask - entity evaluation,results,/content/training-data/relation_extraction/5/triples/results.txt
mask - entity evaluation,has,our C - GCN model,results,/content/training-data/relation_extraction/5/triples/results.txt
our C - GCN model,outperforms,PA - LSTM,results,/content/training-data/relation_extraction/5/triples/results.txt
PA - LSTM,by,substantial margin,results,/content/training-data/relation_extraction/5/triples/results.txt
Contribution,has,Baselines,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
Baselines,has,feature - based structured perceptron model,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
feature - based structured perceptron model,employ,segment - based decoder,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
segment - based decoder,instead of,token - based decoding,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
feature - based structured perceptron model,with,efficient beam - search,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
Baselines,has,SPTree,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
SPTree,proposed,LSTM - based model,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
LSTM - based model,with,sequence layer,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
sequence layer,for,entity identification,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
LSTM - based model,with,tree - based dependency layer,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
tree - based dependency layer,which identifies,relations between pairs of candidate entities,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
Baselines,employed,our previous approach,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
our previous approach,for,extraction,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
extraction,of,opinion entities and relations,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
opinion entities and relations,to,this task,baselines,/content/training-data/relation_extraction/0/triples/baselines.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
Hyperparameters,regularize,our network,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
our network,using,dropout,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
dropout,with,drop - out rate,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
drop - out rate,tuned using,development set,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
Hyperparameters,have,dimensionality,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
dimensionality,of,hidden units,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
hidden units,is,100,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
Hyperparameters,have,3 hidden layers,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
3 hidden layers,in,our network,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
Hyperparameters,has,weights,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
weights,in,network,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
network,initialized from,random uniform noise,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
Hyperparameters,tune,hyperparameters,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
hyperparameters,use them for,training,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
training,on,ACE04 dataset,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
hyperparameters,based on,ACE05 development set,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
Hyperparameters,train,our model,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
our model,using,Adadelta,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
Adadelta,with,gradient clipping,hyperparameters,/content/training-data/relation_extraction/0/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/relation_extraction/0/triples/model.txt
Model,encode,output sequence,model,/content/training-data/relation_extraction/0/triples/model.txt
output sequence,from,left - to - right,model,/content/training-data/relation_extraction/0/triples/model.txt
Model,add,additional layer,model,/content/training-data/relation_extraction/0/triples/model.txt
additional layer,to encode,output sequence,model,/content/training-data/relation_extraction/0/triples/model.txt
output sequence,from,right - to - left,model,/content/training-data/relation_extraction/0/triples/model.txt
additional layer,to,our network,model,/content/training-data/relation_extraction/0/triples/model.txt
Model,At,each time step,model,/content/training-data/relation_extraction/0/triples/model.txt
each time step,use,attention - like model,model,/content/training-data/relation_extraction/0/triples/model.txt
attention - like model,to identify,tokens,model,/content/training-data/relation_extraction/0/triples/model.txt
tokens,in,specified relation,model,/content/training-data/relation_extraction/0/triples/model.txt
specified relation,with,current token,model,/content/training-data/relation_extraction/0/triples/model.txt
attention - like model,on,previously decoded time steps,model,/content/training-data/relation_extraction/0/triples/model.txt
Model,does not,depend,model,/content/training-data/relation_extraction/0/triples/model.txt
depend,on,any dependency tree information,model,/content/training-data/relation_extraction/0/triples/model.txt
Model,has,Our RNN - based model,model,/content/training-data/relation_extraction/0/triples/model.txt
Our RNN - based model,is,multi - layer bidirectional LSTM,model,/content/training-data/relation_extraction/0/triples/model.txt
multi - layer bidirectional LSTM,over,sequence,model,/content/training-data/relation_extraction/0/triples/model.txt
Model,propose,novel RNN - based model,model,/content/training-data/relation_extraction/0/triples/model.txt
novel RNN - based model,for,joint extraction of entity mentions and relations,model,/content/training-data/relation_extraction/0/triples/model.txt
Contribution,has research problem,Joint Extraction of Entity Mentions and Relations,research-problem,/content/training-data/relation_extraction/0/triples/research-problem.txt
Contribution,has research problem,Extraction of entities and their relations from text,research-problem,/content/training-data/relation_extraction/0/triples/research-problem.txt
Contribution,has research problem,entity mention and relation extraction at the sentencelevel,research-problem,/content/training-data/relation_extraction/0/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/relation_extraction/0/triples/results.txt
Results,adding,bidirectional encoding,results,/content/training-data/relation_extraction/0/triples/results.txt
bidirectional encoding,find,significantly improve,results,/content/training-data/relation_extraction/0/triples/results.txt
significantly improve,has,performance,results,/content/training-data/relation_extraction/0/triples/results.txt
performance,of,our system,results,/content/training-data/relation_extraction/0/triples/results.txt
performance,compared to,left - to - right encoding,results,/content/training-data/relation_extraction/0/triples/results.txt
bidirectional encoding,to,our system,results,/content/training-data/relation_extraction/0/triples/results.txt
Results,improves,precision,results,/content/training-data/relation_extraction/0/triples/results.txt
precision,compared to,left - toright decoding,results,/content/training-data/relation_extraction/0/triples/results.txt
left - toright decoding,combined with,multiple relations objective,results,/content/training-data/relation_extraction/0/triples/results.txt
Results,find that for,some relations,results,/content/training-data/relation_extraction/0/triples/results.txt
some relations,is,easier,results,/content/training-data/relation_extraction/0/triples/results.txt
easier,to detect,with respect to,results,/content/training-data/relation_extraction/0/triples/results.txt
with respect to,has,one of the entities,results,/content/training-data/relation_extraction/0/triples/results.txt
one of the entities,in,entity pair,results,/content/training-data/relation_extraction/0/triples/results.txt
Results,has,PHYS relation,results,/content/training-data/relation_extraction/0/triples/results.txt
PHYS relation,is,easier identified,results,/content/training-data/relation_extraction/0/triples/results.txt
easier identified,with respect to,GPE entity,results,/content/training-data/relation_extraction/0/triples/results.txt
GPE entity,than,PER entity,results,/content/training-data/relation_extraction/0/triples/results.txt
Results,has,Multiple Relations,results,/content/training-data/relation_extraction/0/triples/results.txt
Multiple Relations,find that,modifying our objective,results,/content/training-data/relation_extraction/0/triples/results.txt
modifying our objective,to include,multiple relations,results,/content/training-data/relation_extraction/0/triples/results.txt
multiple relations,improves,recall,results,/content/training-data/relation_extraction/0/triples/results.txt
recall,leading to,slight improvement,results,/content/training-data/relation_extraction/0/triples/results.txt
slight improvement,on,over all performance on relations,results,/content/training-data/relation_extraction/0/triples/results.txt
recall,of,our system,results,/content/training-data/relation_extraction/0/triples/results.txt
recall,on,relations,results,/content/training-data/relation_extraction/0/triples/results.txt
Contribution,has,Baselines,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Baselines,has,SVM,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Baselines,has,RNN,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Baselines,has,MVRNN,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Baselines,has,CNN + Softmax,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Baselines,has,FCM,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Baselines,has,CR - CNN,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Baselines,has,Attention - CNN,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Baselines,has,Entity Attention Bi-LSTM,baselines,/content/training-data/relation_extraction/2/triples/baselines.txt
Contribution,has,Ablation analysis,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
Ablation analysis,demonstrates,special separate tokens and the hidden entity vectors,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
special separate tokens and the hidden entity vectors,make,important contributions,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
Ablation analysis,has,BERT,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
BERT,can not locate,target entities,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
BERT,without,special separate tokens,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
Ablation analysis,has,BERT - NO - SEP - NO - ENT,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
BERT - NO - SEP - NO - ENT,performs,worst,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
worst,with,F1 8.16 absolute points,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
F1 8.16 absolute points,worse than,R - BERT,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
Ablation analysis,observe,three methods,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
three methods,perform,worse,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
worse,than,R - BERT,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
Ablation analysis,incorporating,output,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
output,of,target entity vectors,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
target entity vectors,to make,more accurate prediction,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
target entity vectors,further enriches,information,ablation-analysis,/content/training-data/relation_extraction/2/triples/ablation-analysis.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/relation_extraction/2/triples/hyperparameters.txt
Hyperparameters,add,dropout,hyperparameters,/content/training-data/relation_extraction/2/triples/hyperparameters.txt
dropout,before,each add - on layer,hyperparameters,/content/training-data/relation_extraction/2/triples/hyperparameters.txt
Hyperparameters,For,pre-trained BERT model,hyperparameters,/content/training-data/relation_extraction/2/triples/hyperparameters.txt
pre-trained BERT model,use,uncased basic model,hyperparameters,/content/training-data/relation_extraction/2/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/relation_extraction/2/triples/model.txt
Model,locate,positions,model,/content/training-data/relation_extraction/2/triples/model.txt
positions,in,output embedding,model,/content/training-data/relation_extraction/2/triples/model.txt
output embedding,from,BERT model,model,/content/training-data/relation_extraction/2/triples/model.txt
positions,of,two target entities,model,/content/training-data/relation_extraction/2/triples/model.txt
Model,apply,pretrained BERT model,model,/content/training-data/relation_extraction/2/triples/model.txt
pretrained BERT model,for,relation classification,model,/content/training-data/relation_extraction/2/triples/model.txt
Model,insert,special tokens,model,/content/training-data/relation_extraction/2/triples/model.txt
special tokens,before feeding,text,model,/content/training-data/relation_extraction/2/triples/model.txt
text,to,BERT,model,/content/training-data/relation_extraction/2/triples/model.txt
BERT,for,fine - tuning,model,/content/training-data/relation_extraction/2/triples/model.txt
special tokens,before and after,target entities,model,/content/training-data/relation_extraction/2/triples/model.txt
target entities,to identify,locations,model,/content/training-data/relation_extraction/2/triples/model.txt
locations,transfer,information,model,/content/training-data/relation_extraction/2/triples/model.txt
information,into,BERT model,model,/content/training-data/relation_extraction/2/triples/model.txt
